iso3,country,g_whoregion,year,e_pop_num,e_inc_100k,e_inc_num,e_inc_num_lo,e_inc_num_hi,e_tbhiv_prct,e_mort_100k,e_mort_num,cfr_pct,c_cdr,c_newinc,newinc_rdx,notif_foreign,c_new_tsr,newrel_coh,mdr_coh,mdr_succ,budget_lab,budget_tot,budget_staff,cf_tot,cf_tot_domestic,cf_tot_gf,cf_tot_usaid,diagnostic_gap_num,diagnostic_gap_pct,case_detection_rate,rdx_coverage_pct,budget_lab_per100k,budget_tot_per100k,lab_budget_share_pct,donor_dependency_pct,treatment_success_pct,hiv_tb_burden_pct,lfa_priority_score
ARE,United Arab Emirates,EMR,2021,9789055,0.82,81.0,66.0,97.0,2.0,0.68,66.0,83.0,82.0,66.0,25.0,0.0,85.0,66.0,0.0,0.0,,,,,,,,15.0,0.18518518518518517,82.0,37.878787878787875,,,,,85.0,2.0,0.3164842635929691
GBR,United Kingdom of Great Britain and Northern Ireland,EUR,2021,67668797,7.9,5400.0,5000.0,5800.0,3.5,0.35,240.0,4.0,89.0,4762.0,807.0,3600.0,86.0,4707.0,38.0,31.0,,,,,,,,638.0,0.11814814814814815,89.0,16.946661066778663,,,,,86.0,3.5,0.32851493278673116
TZA,United Republic of Tanzania,AFR,2021,62830413,208.0,131000.0,58000.0,233000.0,18.0,40.0,25000.0,22.0,66.0,86701.0,35644.0,81.0,96.0,86382.0,440.0,311.0,10549672.0,53388379.0,3623940.0,33252617.0,11842341.0,12930276.0,7980000.0,44299.0,0.33816030534351144,66.0,41.111405866137645,16790.70930187901,84972.19173141517,19.760240332451374,62.88309879490087,96.0,18.0,0.4773112183992332
USA,United States of America,AMR,2021,340161448,2.6,8800.0,7100.0,11000.0,4.3,0.2,700.0,8.0,86.0,7557.0,,5621.0,76.0,7004.0,107.0,93.0,,135034000.0,,,,,,1243.0,0.14125,86.0,,,39697.0323338934,,,76.0,4.3,0.37130981585793943
URY,Uruguay,AMR,2021,3396698,34.0,1200.0,950.0,1400.0,13.0,3.6,120.0,11.0,81.0,951.0,318.0,4.0,72.0,946.0,1.0,1.0,,4253647.0,,,,,,249.0,0.2075,81.0,33.4384858044164,,125228.88405151121,,,72.0,13.0,0.3524355672610604
UZB,Uzbekistan,EUR,2021,34243699,60.0,21000.0,17000.0,25000.0,2.9,2.2,760.0,4.0,66.0,13544.0,13273.0,0.0,89.0,11680.0,1753.0,1284.0,,,,,,,,7456.0,0.35504761904761906,66.0,97.99911399881867,,,,,89.0,2.9,0.30903373200275663
VUT,Vanuatu,WPR,2021,305872,48.0,150.0,89.0,300.0,0.0,12.0,36.0,28.0,47.0,69.0,1.0,0.0,90.0,69.0,0.0,0.0,0.0,527709.0,195605.0,527709.0,195605.0,204258.0,,81.0,0.54,47.0,1.4492753623188406,0.0,172526.08934456244,0.0,38.70655986538035,90.0,0.0,0.5880765049093678
VEN,Venezuela (Bolivarian Republic of),AMR,2021,28237836,48.0,13000.0,11000.0,16000.0,7.8,3.6,1000.0,8.0,68.0,9090.0,192.0,21.0,84.0,9090.0,22.0,15.0,1233277.0,2697820.0,21600.0,1019747.0,189046.0,810701.0,0.0,3910.0,0.3007692307692308,68.0,2.112211221122112,4367.462860822621,9553.91907510193,45.71383561542282,79.50020936565639,84.0,7.8,0.46588704941467973
VNM,Viet Nam,WPR,2021,98935100,171.0,169000.0,107000.0,244000.0,3.0,12.0,12000.0,7.0,46.0,77657.0,74204.0,5.0,90.0,77657.0,2354.0,1705.0,31014669.0,132975703.0,6994960.0,33651888.0,4972638.0,26813654.0,883594.0,91343.0,0.5404911242603551,46.0,95.55352382914612,31348.499167636157,134407.00317683007,23.32356084629987,82.30518299597337,90.0,3.0,0.44355746271845903
WLF,Wallis and Futuna,WPR,2021,11564,1.4,0.0,0.0,0.0,,0.04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3006752411575552
YEM,Yemen,EMR,2021,37140229,34.0,13000.0,11000.0,15000.0,0.72,10.0,3900.0,31.0,74.0,9367.0,,0.0,89.0,9358.0,40.0,31.0,429545.0,3976243.0,582000.0,1721076.0,69090.0,1651986.0,0.0,3633.0,0.2794615384615385,74.0,,1156.5491424406673,10706.027149159474,10.80278544344498,95.98565083703451,89.0,0.72,0.454417496132671
ZMB,Zambia,AFR,2021,19603610,307.0,60000.0,38000.0,87000.0,34.0,41.0,8000.0,14.0,83.0,50075.0,50075.0,,92.0,50075.0,426.0,342.0,5464317.0,37755340.0,718340.0,31334448.0,11750000.0,9409575.0,9644873.0,9925.0,0.16541666666666666,83.0,100.0,27874.034425292077,192593.81307830548,14.472964619044618,60.809904805088635,92.0,34.0,0.3159935095636328
ZWE,Zimbabwe,AFR,2021,15797209,198.0,31000.0,22000.0,41000.0,62.0,55.0,8600.0,28.0,52.0,16310.0,16310.0,,90.0,16541.0,232.0,158.0,6529001.0,32126351.0,3535698.0,16096601.0,2096683.0,9803368.0,3284585.0,14690.0,0.4738709677419355,52.0,100.0,41330.09191686962,203367.2593684112,20.322883853195776,81.30879929247175,90.0,62.0,0.4095894488488098
